Comando para gerar este arquivo: node estudos_de_caso.js grafo_2 > grafo_2.txt
Grafo: grafo_2
Classe: ArrayGraph
Tamanho do grafo: 1000 nodes
Uso de memória: 63.2890625 MBs


Menor caminho de 1 a 10 (distância 2): 10 -> 52 -> 1
Menor caminho de 1 a 20 (distância 3): 20 -> 497 -> 1
Menor caminho de 1 a 30 (distância 2): 30 -> 497 -> 1
Menor caminho de 1 a 40 (distância 3): 40 -> 331 -> 1
Menor caminho de 1 a 50 (distância 3): 50 -> 269 -> 782 -> 1


Árvore geradora mínima: 
1000
1 0 0
2 12 1
3 249 1
4 1 1
5 482 1
6 460 1
7 878 1
8 71 1
9 366 1
10 366 1
11 670 1
12 71 1
13 455 1
14 594 1
15 425 1
16 116 1
17 856 1
18 71 1
19 478 1
20 344 1
21 379 1
22 785 1
23 460 1
24 833 1
25 854 1
26 663 1
27 12 1
28 303 1
29 482 1
30 142 1
31 133 1
32 735 1
33 455 1
34 482 1
35 851 1
36 433 1
37 896 1
38 785 1
39 637 1
40 12 1
41 344 1
42 623 1
43 71 1
44 71 1
45 594 1
46 116 1
47 133 1
48 344 1
49 455 1
50 594 1
51 247 1
52 1 1
53 478 1
54 71 1
55 482 1
56 574 1
57 220 1
58 220 1
59 594 1
60 670 1
61 12 1
62 637 1
63 478 1
64 331 1
65 12 1
66 896 1
67 286 1
68 420 1
69 71 1
70 425 1
71 594 1
72 482 1
73 203 1
74 64 1
75 111 1
76 442 1
77 111 1
78 12 1
79 71 1
80 790 1
81 425 1
82 785 1
83 851 1
84 339 1
85 111 1
86 482 1
87 482 1
88 647 1
89 758 1
90 415 1
91 366 1
92 71 1
93 851 1
94 9 1
95 482 1
96 249 1
97 220 1
98 415 1
99 851 1
100 856 1
101 455 1
102 71 1
103 116 1
104 425 1
105 133 1
106 425 1
107 672 1
108 339 1
109 594 1
110 247 1
111 220 1
112 257 1
113 554 1
114 116 1
115 591 1
116 455 1
117 637 1
118 785 1
119 670 1
120 249 1
121 183 1
122 286 1
123 888 1
124 623 1
125 851 1
126 129 1
127 286 1
128 257 1
129 442 1
130 133 1
131 591 1
132 594 1
133 593 1
134 247 1
135 808 1
136 663 1
137 344 1
138 311 1
139 331 1
140 785 1
141 311 1
142 68 1
143 111 1
144 1 1
145 594 1
146 12 1
147 133 1
148 415 1
149 64 1
150 331 1
151 360 1
152 1 1
153 663 1
154 71 1
155 249 1
156 637 1
157 637 1
158 851 1
159 403 1
160 623 1
161 247 1
162 670 1
163 311 1
164 923 1
165 482 1
166 455 1
167 460 1
168 111 1
169 637 1
170 64 1
171 478 1
172 71 1
173 851 1
174 482 1
175 594 1
176 116 1
177 923 1
178 591 1
179 623 1
180 257 1
181 344 1
182 12 1
183 133 1
184 623 1
185 555 1
186 449 1
187 116 1
188 433 1
189 785 1
190 1 1
191 594 1
192 116 1
193 331 1
194 352 1
195 433 1
196 460 1
197 155 1
198 12 1
199 482 1
200 594 1
201 460 1
202 331 1
203 761 1
204 785 1
205 220 1
206 12 1
207 455 1
208 637 1
209 455 1
210 249 1
211 311 1
212 851 1
213 247 1
214 663 1
215 9 1
216 251 1
217 64 1
218 220 1
219 888 1
220 460 1
221 379 1
222 71 1
223 220 1
224 249 1
225 663 1
226 116 1
227 116 1
228 455 1
229 460 1
230 251 1
231 64 1
232 623 1
233 460 1
234 460 1
235 257 1
236 64 1
237 9 1
238 959 1
239 425 1
240 257 1
241 888 1
242 183 1
243 856 1
244 591 1
245 116 1
246 257 1
247 856 1
248 25 1
249 247 1
250 71 1
251 623 1
252 923 1
253 594 1
254 331 1
255 311 1
256 456 1
257 785 1
258 482 1
259 129 1
260 311 1
261 1 1
262 568 1
263 257 1
264 555 1
265 425 1
266 71 1
267 64 1
268 25 1
269 71 1
270 785 1
271 785 1
272 591 1
273 331 1
274 12 1
275 9 1
276 311 1
277 594 1
278 331 1
279 12 1
280 851 1
281 220 1
282 252 1
283 454 1
284 470 1
285 220 1
286 568 1
287 116 1
288 637 1
289 442 1
290 594 1
291 257 1
292 611 1
293 220 1
294 896 1
295 482 1
296 220 1
297 574 1
298 455 1
299 425 1
300 379 1
301 594 1
302 594 1
303 286 1
304 111 1
305 482 1
306 12 1
307 64 1
308 623 1
309 303 1
310 455 1
311 9 1
312 455 1
313 360 1
314 449 1
315 12 1
316 1 1
317 282 1
318 460 1
319 247 1
320 203 1
321 366 1
322 593 1
323 663 1
324 637 1
325 379 1
326 344 1
327 478 1
328 303 1
329 12 1
330 470 1
331 1 1
332 663 1
333 220 1
334 12 1
335 116 1
336 251 1
337 1 1
338 442 1
339 129 1
340 133 1
341 546 1
342 478 1
343 352 1
344 591 1
345 133 1
346 366 1
347 785 1
348 64 1
349 9 1
350 425 1
351 64 1
352 959 1
353 489 1
354 455 1
355 257 1
356 116 1
357 164 1
358 623 1
359 433 1
360 888 1
361 433 1
362 257 1
363 851 1
364 71 1
365 663 1
366 155 1
367 331 1
368 379 1
369 311 1
370 303 1
371 64 1
372 591 1
373 330 1
374 133 1
375 594 1
376 116 1
377 568 1
378 257 1
379 251 1
380 331 1
381 116 1
382 672 1
383 64 1
384 856 1
385 594 1
386 482 1
387 460 1
388 116 1
389 594 1
390 64 1
391 663 1
392 220 1
393 9 1
394 591 1
395 425 1
396 220 1
397 257 1
398 1 1
399 286 1
400 379 1
401 670 1
402 672 1
